event_name,date,start_date,end_date,start_time,end_time,description,teamapp_url,category,category_key,event_id
\n**Runny nose / cough / aches / pain / nausea / vomiting / diarrhoea / sore throat / loss of smell or taste / fever / chills / nigh sweats / headache / difficulty breathing**
\n- Maintain 1.5 metres distance from others during the event, where possible.
\n- Do not come to the event if you are required to isolate or quarantine for any reason and/or you are awaiting results of a COVID-19 test.
\n- Minimise movement as much as possible by staying within your allotted space or seat.
\n- Follow directions for face coverings and hygiene during the event.
\n- Our COVID-19 safety officer is Burak, you must notify him (or any available committee member) if you feel unwell after the trip, test positive, or have any other queries related to COVID-19 safety protocols. 
\n- Please refer to University Coronavirus Website for more information https://www.unimelb.edu.au/coronavirus as well as MUSport Guidelines: https://sport.unimelb.edu.au/play-sport/club-resources/club-return-to-sport",https://muuc.teamapp.com/clubs/132307/events/19361469,Club Meetings,club-meetings,19361469

woody's shore dive,2023-09-09,2023-09-09,2023-09-09,00:00,23:59,"——\n**Trip Info**\n——
\n**Trip Leader**: woody\n**Leader Phone**: 0404641158
\n**Secondary Trip Contact**: kristova 
\n**No. of Planned Dives**: 2
\n**Mandatory Equipment**: <SMB>
\n**Please note that the event start time is the meeting time at the shed unless stated otherwise in the briefing**
\n
\n——\n**Dive Plan & Briefing** \nSome pier on Mornington Peninsula, will decide on the day. 8am meet at shed. \n\n——
\n**Water Temperature**: 13
\n**Weather Conditions**:
\n<Specify, eg. Expect wind, bring warm clothes and sea-sickness pills.>
\nNW moderate winds\n
\n**Dive Site(s)**:\n<eg. Blairgowrie Pier> decide on the day\n\n**Additional Details**:
\n
\n——\n**PARTICIPATION REQUIREMENTS**\n——\n1. Current Membership \n2. Current Liability Waiver \n3. Current Certificate suitable for trip level.  \n4. Boat Trips: \n    - Cleared by Dive Coordinator \n    - Cleared by this trip Boat Master \n    - Demonstrates sufficient skill level \n\n——
\n**Gear Hire Policy**\n——
\n1. Signed off on all cabinet gear taken \n2. Has current gear hire deposit
\n
\n——\n**Health & Safety** \n——\nEmergency Contacts (non life threatening) \n- President (Maciej) 0481947622\n- VP (Andrew) 0401224088\n- Secretary (Burak) 0428422828\n- Treasurer (Kevin) 0432960331\n\nLife Threatening: Dial 000\n
\n- Do not attend if you are feeling unwell, or experience any of the following symptoms: 
\n**Runny nose / cough / aches / pain / nausea / vomiting / diarrhea / sore throat / loss of smell or taste / fever / chills / nigh sweats / headache / difficulty breathing**
\n- Do not come to the event if you are required to isolate or quarantine for any reason and/or you are awaiting results of a COVID-19 test.
\n
——\n**Trip Leaders**\n—— 
\nhttps://forms.office.com/r/EGTBX6N9T6\n\nhttps://sport.unimelb.edu.au/pdfs/Club-Critical-Incident_Procedure_20052022.pdf",https://muuc.teamapp.com/clubs/132307/events/22450208,Shore,shore,22450208

[Boat] [OW] Barwon heads OW trip!,2023-09-10,2023-09-10,2023-09-10,07:00,20:00,"——\n**Trip Info**\n——
\n**Trip Leader**: Liam Aarons\n**Leader Phone**: 0499027908
\n**Secondary Trip Contact**: Maciej
\n**No. of Planned Dives**: 2
\n**Mandatory Equipment**: <SMB>
\n**Please note that the event start time is the meeting time at the shed unless stated otherwise in the briefing**
\n
\n——\n**Dive Plan & Briefing** \n\nDeparting the shed at 7:15, meet at 7 if your gear is loaded on Saturday or 6:45 if you need to arrange gear. We will be doing some exploratory reef diving, and possibly a graveyard dive for those certified. It may be a bit surgey, so please take seasickness pills before, and bring plenty of warm clothes!\n\n——
\n**Water Temperature**: 
\n**Weather Conditions**:
\n<Specify, eg. Expect wind, bring warm clothes and sea-sickness pills.>
\n
\n**Dive Site(s)**:\n<eg. Blairgowrie Pier>\n\n**Additional Details**:
\n
\n——\n**PARTICIPATION REQUIREMENTS**\n——\n1. Current Membership \n2. Current Liability Waiver \n3. Current Certificate suitable for trip level.  \n4. Boat Trips: \n    - Cleared by Dive Coordinator \n    - Cleared by this trip Boat Master \n    - Demonstrates sufficient skill level \n\n——
\n**Gear Hire Policy**\n——
\n1. Signed off on all cabinet gear taken \n2. Has current gear hire deposit
\n
\n——\n**Health & Safety** \n——\nEmergency Contacts (non life threatening) \n- President (Maciej) 0481947622\n- VP (Andrew) 0401224088\n- Secretary (Burak) 0428422828\n- Treasurer (Kevin) 0432960331\n\nLife Threatening: Dial 000\n
\n- Do not attend if you are feeling unwell, or experience any of the following symptoms: 
\n**Runny nose / cough / aches / pain / nausea / vomiting / diarrhea / sore throat / loss of smell or taste / fever / chills / nigh sweats / headache / difficulty breathing**
\n- Do not come to the event if you are required to isolate or quarantine for any reason and/or you are awaiting results of a COVID-19 test.
\n
——\n**Trip Leaders**\n—— 
\nhttps://forms.office.com/r/EGTBX6N9T6\n\nhttps://sport.unimelb.edu.au/pdfs/Club-Critical-Incident_Procedure_20052022.pdf",https://muuc.teamapp.com/clubs/132307/events/22463824,Boat,boat,22463824

Boat driver licence course - become a boat driver!,2023-09-13,2023-09-13,2023-09-13,17:30,21:45,We are organising a boat drivers licence course for our members .\n\nAfter this course you’ll be able to receive a boat drivers licence at vic roads.\n\nThe special price for this course is 145$\n\n+ vicroads licence fees (payable at VicRoads)\n\nThis course takes you through everything you need to know to get your Boat and PWC Licence without any pre study.\n\nAt the completion of the theory section the there will be an exam for your Boat and PWC endorsement( 16 yrs and older ) and then a Certificate will be issued.\n\nAfter you just need to present the certificate at Vic Roads to get your Licence. \n\nPlease note you will need to provide an Australian Drivers Licence or Learner Permit or if none is held an Australian Birth Certificate or Passport and Family Medicare Card. \n\nBooks and pens will be provided.\n\n\nPlease note that a minimum of 8 participants are required to run the course.,https://muuc.teamapp.com/clubs/132307/events/21981412,Courses,courses,21981412

Weekly Club Meeting + Weekly BBQ,2023-09-14,2023-09-14,2023-09-14,19:00,20:00,"**Join us for our weekly club meetings!**
\n
\n**Activities**
\n- Trip planning
\n- Trip debrief 
\n- Gear Hire & Returns
\n- Membership signups 
\n- Meet & Greet 
\n- All things admin
\n
\nNeed anything specific? Enquire via chat. 
\n
\n**—COVID Safety—** 
\n- You must be fully vaccinated to attend or work the event unless you have a valid medical exemption. 
\n- Complete a symptom self-assessment prior to leaving home. Do not come to the event if you are unwell, even with very mild symptoms
\n- Do not attend if you are feeling unwell, or experience any of the following symptoms: 
\n**Runny nose / cough / aches / pain / nausea / vomiting / diarrhoea / sore throat / loss of smell or taste / fever / chills / nigh sweats / headache / difficulty breathing**
\n- Maintain 1.5 metres distance from others during the event, where possible.
\n- Do not come to the event if you are required to isolate or quarantine for any reason and/or you are awaiting results of a COVID-19 test.
\n- Minimise movement as much as possible by staying within your allotted space or seat.
\n- Follow directions for face coverings and hygiene during the event.
\n- Our COVID-19 safety officer is Burak, you must notify him (or any available committee member) if you feel unwell after the trip, test positive, or have any other queries related to COVID-19 safety protocols. 
\n- Please refer to University Coronavirus Website for more information https://www.unimelb.edu.au/coronavirus as well as MUSport Guidelines: https://sport.unimelb.edu.au/play-sport/club-resources/club-return-to-sport",https://muuc.teamapp.com/clubs/132307/events/19361470,Club Meetings,club-meetings,19361470

Advanced Open Water course 16th 17th Sep,2023-09-16,2023-09-16,2023-09-17,00:00,23:59,"Advanced Open Water course is the answer to all of those questions! You will learn 5 AOW skills spread across 2 days, and try out different kinds of skills through each dive. Experience it all through professional instructors from MUUC
\nhttps://muuc.org.au
\nTraining Policy
\nhttps://muuc.org.au/courses/training-policy
\n
\nCourse outline (subject to change depending on the weather or other reasons)
\n
\nminimum 4 students to run the course
\n
\nThursday orientation night at shed (the official first day of the course) on 14/09/2023 5.00 at Shed !!!! Dont forget !!",https://muuc.teamapp.com/clubs/132307/events/21762714,Courses,courses,21762714

Woody and Daniel's Sunday Funday Dive 🎉🎉🎉,2023-09-17,2023-09-17,2023-09-17,00:00,23:59,"——\n**Trip Info**\n——
\n**Trip Leader**: woody\n**Leader Phone**: 0404641158
\n**Secondary Trip Contact**: daniel
\n**No. of Planned Dives**: 2
\n**Mandatory Equipment**: <SMB>
\n**Please note that the event start time is the meeting time at the shed unless stated otherwise in the briefing**
\n
\n——\n**Dive Plan & Briefing** \ndecide location on the day. meet at 8am at shed. \n——
\n**Water Temperature**: 
\n**Weather Conditions**:
\n<Specify, eg. Expect wind, bring warm clothes and sea-sickness pills.>\nmild wind 
\n
\n**Dive Site(s)**:\n<eg. Blairgowrie Pier>\n\n**Additional Details**:
\n
\n——\n**PARTICIPATION REQUIREMENTS**\n——\n1. Current Membership \n2. Current Liability Waiver \n3. Current Certificate suitable for trip level.  \n4. Boat Trips: \n    - Cleared by Dive Coordinator \n    - Cleared by this trip Boat Master \n    - Demonstrates sufficient skill level \n\n——
\n**Gear Hire Policy**\n——
\n1. Signed off on all cabinet gear taken \n2. Has current gear hire deposit
\n
\n——\n**Health & Safety** \n——\nEmergency Contacts (non life threatening) \n- President (Maciej) 0481947622\n- VP (Andrew) 0401224088\n- Secretary (Burak) 0428422828\n- Treasurer (Kevin) 0432960331\n\nLife Threatening: Dial 000\n
\n- Do not attend if you are feeling unwell, or experience any of the following symptoms: 
\n**Runny nose / cough / aches / pain / nausea / vomiting / diarrhea / sore throat / loss of smell or taste / fever / chills / nigh sweats / headache / difficulty breathing**
\n- Do not come to the event if you are required to isolate or quarantine for any reason and/or you are awaiting results of a COVID-19 test.
\n
——\n**Trip Leaders**\n—— 
\nhttps://forms.office.com/r/EGTBX6N9T6\n\nhttps://sport.unimelb.edu.au/pdfs/Club-Critical-Incident_Procedure_20052022.pdf",https://muuc.teamapp.com/clubs/132307/events/22545973,Other,other,22545973

Weekly Club Meeting + Weekly BBQ,2023-09-21,2023-09-21,2023-09-21,19:00,20:00,"**Join us for our weekly club meetings!**
\n
\n**Activities**
\n- Trip planning
\n- Trip debrief 
\n- Gear Hire & Returns
\n- Membership signups 
\n- Meet & Greet 
\n- All things admin
\n
\nNeed anything specific? Enquire via chat. 
\n
\n**—COVID Safety—** 
\n- You must be fully vaccinated to attend or work the event unless you have a valid medical exemption. 
\n- Complete a symptom self-assessment prior to leaving home. Do not come to the event if you are unwell, even with very mild symptoms
\n- Do not attend if you are feeling unwell, or experience any of the following symptoms: 
\n**Runny nose / cough / aches / pain / nausea / vomiting / diarrhoea / sore throat / loss of smell or taste / fever / chills / nigh sweats / headache / difficulty breathing**
\n- Maintain 1.5 metres distance from others during the event, where possible.
\n- Do not come to the event if you are required to isolate or quarantine for any reason and/or you are awaiting results of a COVID-19 test.
\n- Minimise movement as much as possible by staying within your allotted space or seat.
\n- Follow directions for face coverings and hygiene during the event.
\n- Our COVID-19 safety officer is Burak, you must notify him (or any available committee member) if you feel unwell after the trip, test positive, or have any other queries related to COVID-19 safety protocols. 
\n- Please refer to University Coronavirus Website for more information https://www.unimelb.edu.au/coronavirus as well as MUSport Guidelines: https://sport.unimelb.edu.au/play-sport/club-resources/club-return-to-sport",https://muuc.teamapp.com/clubs/132307/events/19361471,Club Meetings,club-meetings,19361471

woody shore dive again,2023-09-23,2023-09-23,2023-09-23,00:00,23:59,"——\n**Trip Info**\n——
\n**Trip Leader**: woody\n**Leader Phone**: 0404641158
\n**Secondary Trip Contact**: patrick
\n**No. of Planned Dives**: 2
\n**Mandatory Equipment**: <SMB>
\n**Please note that the event start time is the meeting time at the shed unless stated otherwise in the briefing**
\n
\n——\n**Dive Plan & Briefing** \nMeet at shed at 8am. going to Mornington pier :)) \n\n——
\n**Water Temperature**: 
\n**Weather Conditions**: 
\n<Specify, eg. Expect wind, bring warm clothes and sea-sickness pills.>\n\ngood, light winds 
\n
\n**Dive Site(s)**:\nMornington pier \n\n**Additional Details**:
\n
\n——\n**PARTICIPATION REQUIREMENTS**\n——\n1. Current Membership \n2. Current Liability Waiver \n3. Current Certificate suitable for trip level.  \n4. Boat Trips: \n    - Cleared by Dive Coordinator \n    - Cleared by this trip Boat Master \n    - Demonstrates sufficient skill level \n\n——
\n**Gear Hire Policy**\n——
\n1. Signed off on all cabinet gear taken \n2. Has current gear hire deposit
\n
\n——\n**Health & Safety** \n——\nEmergency Contacts (non life threatening) \n- President (Maciej) 0481947622\n- VP (Andrew) 0401224088\n- Secretary (Burak) 0428422828\n- Treasurer (Kevin) 0432960331\n\nLife Threatening: Dial 000\n
\n- Do not attend if you are feeling unwell, or experience any of the following symptoms: 
\n**Runny nose / cough / aches / pain / nausea / vomiting / diarrhea / sore throat / loss of smell or taste / fever / chills / nigh sweats / headache / difficulty breathing**
\n- Do not come to the event if you are required to isolate or quarantine for any reason and/or you are awaiting results of a COVID-19 test.
\n
——\n**Trip Leaders**\n—— 
\nhttps://forms.office.com/r/EGTBX6N9T6\n\nhttps://sport.unimelb.edu.au/pdfs/Club-Critical-Incident_Procedure_20052022.pdf",https://muuc.teamapp.com/clubs/132307/events/22628671,Shore,shore,22628671

Advanced Open water course on 23rd and 24th Sep,2023-09-23,2023-09-23,2023-09-24,07:00,21:00,"Advanced Open Water course is the answer to all of those questions! You will learn 5 AOW skills spread across 2 days, and try out different kinds of skills through each dive. Experience it all through professional instructors from MUUC\nhttps://muuc.org.au\nTraining Policy\nhttps://muuc.org.au/courses/training-policy\n\nCourse outline (subject to change depending on the weather or other reasons)\n\nminimum 4 students to run the course\n\nThursday orientation night at the shed (the official first day of the course) on 21/09/2023 at 5.00 at Shed !!!! Don't forget !!",https://muuc.teamapp.com/clubs/132307/events/22151376,Courses,courses,22151376

[Shore] [OW] NEW MEMBER DIVE,2023-09-24,2023-09-24,2023-09-24,00:00,23:59,"——
\n**Trip Info**
\n——
\n**Trip Leader**: Xiang
\n**Leader Phone**: 0430 188 176
\n**Secondary Trip Contact**:
\n**No. of Planned Dives**: 1
\n**Mandatory Equipment**: N/A
\n**Please note that the event start time is the meeting time at the shed unless stated otherwise in the briefing**
\n
\n——
\n**Dive Plan & Briefing** 
\nFirst time diving with the club? That's alright, come along and we can help you experience what the club is like! Just click attending, pay for gear hire and meet at shed at 6:30am.
\nWe will be diving, so bring some food to eat and your best smile :) 
\nDepending on who can drive may be able to take more!
\n——
\n**Water Temperature**: Cooler
\n**Weather Conditions**: Should be nice weather, low winds so bring some sunscreen!
\n
\n
\n**Dive Site(s)**:
\nTo be decided on the day
\n
\n**Additional Details**:
\n
\n——
\n**PARTICIPATION REQUIREMENTS**
\n——
\n1. Current Membership 
\n2. Current Liability Waiver 
\n3. Current Certificate suitable for trip level.  
\n4. Boat Trips: 
\n    - Cleared by Dive Coordinator 
\n    - Cleared by this trip Boat Master 
\n    - Demonstrates sufficient skill level 
\n
\n——
\n**Gear Hire Policy**
\n——
\n1. Signed off on all cabinet gear taken 
\n2. Has current gear hire deposit
\n
\n——
\n**Health & Safety** 
\n——
\nEmergency Contacts (non life threatening) 
\n- President (Maciej) 0481947622
\n- VP (Andrew) 0401224088
\n- Secretary (Burak) 0428422828
\n- Treasurer (Kevin) 0432960331
\n
\nLife Threatening: Dial 000
\n
\n- Do not attend if you are feeling unwell, or experience any of the following symptoms: 
\n**Runny nose / cough / aches / pain / nausea / vomiting / diarrhea / sore throat / loss of smell or taste / fever / chills / nigh sweats / headache / difficulty breathing**
\n- Do not come to the event if you are required to isolate or quarantine for any reason and/or you are awaiting results of a COVID-19 test.
\n
\n——
\n**Trip Leaders**
\n—— 
\nhttps://forms.office.com/r/EGTBX6N9T6
\n
\nhttps://sport.unimelb.edu.au/pdfs/Club-Critical-Incident_Procedure_20052022.pdf",https://muuc.teamapp.com/clubs/132307/events/22617248,Shore,shore,22617248

Daniel's Thursday Dive,2023-09-28,2023-09-28,2023-09-28,00:00,23:59,"——\n**Trip Info**\n——
\n**Trip Leader**: Daniel Zou\n**Leader Phone**: 0403 136 928
\n**Secondary Trip Contact**: NA
\n**No. of Planned Dives**: 2
\n**Mandatory Equipment**: <SMB>
\n**Please note that the event start time is the meeting time at the shed unless stated otherwise in the briefing**
\n
\n——\n**Dive Plan & Briefing** \nMeet at shed 7am\n——
\n**Water Temperature**: 14 deg
\n**Weather Conditions**: 
\nMild South Easterly
\n
\n**Dive Site(s)**:\nBlairgowrie Pier\n\n\n**Additional Details**:
\n
\n——\n**PARTICIPATION REQUIREMENTS**\n——\n1. Current Membership \n2. Current Liability Waiver \n3. Current Certificate suitable for trip level.  \n4. Boat Trips: \n    - Cleared by Dive Coordinator \n    - Cleared by this trip Boat Master \n    - Demonstrates sufficient skill level \n\n——
\n**Gear Hire Policy**\n——
\n1. Signed off on all cabinet gear taken \n2. Has current gear hire deposit
\n
\n——\n**Health & Safety** \n——\nEmergency Contacts (non life threatening) \n- President (Maciej) 0481947622\n- VP (Andrew) 0401224088\n- Secretary (Burak) 0428422828\n- Treasurer (Kevin) 0432960331\n\nLife Threatening: Dial 000\n
\n- Do not attend if you are feeling unwell, or experience any of the following symptoms: 
\n**Runny nose / cough / aches / pain / nausea / vomiting / diarrhea / sore throat / loss of smell or taste / fever / chills / nigh sweats / headache / difficulty breathing**
\n- Do not come to the event if you are required to isolate or quarantine for any reason and/or you are awaiting results of a COVID-19 test.
\n
——\n**Trip Leaders**\n—— 
\nhttps://forms.office.com/r/EGTBX6N9T6\n\nhttps://sport.unimelb.edu.au/pdfs/Club-Critical-Incident_Procedure_20052022.pdf",https://muuc.teamapp.com/clubs/132307/events/22684714,Other,other,22684714

Weekly Club Meeting + Weekly BBQ,2023-09-28,2023-09-28,2023-09-28,19:00,20:00,"**Join us for our weekly club meetings!**
\n
\n**Activities**
\n- Trip planning
\n- Trip debrief 
\n- Gear Hire & Returns
\n- Membership signups 
\n- Meet & Greet 
\n- All things admin
\n
\nNeed anything specific? Enquire via chat. 
\n
\n**—COVID Safety—** 
\n- You must be fully vaccinated to attend or work the event unless you have a valid medical exemption. 
\n- Complete a symptom self-assessment prior to leaving home. Do not come to the event if you are unwell, even with very mild symptoms
\n- Do not attend if you are feeling unwell, or experience any of the following symptoms: 
\n**Runny nose / cough / aches / pain / nausea / vomiting / diarrhoea / sore throat / loss of smell or taste / fever / chills / nigh sweats / headache / difficulty breathing**
\n- Maintain 1.5 metres distance from others during the event, where possible.
\n- Do not come to the event if you are required to isolate or quarantine for any reason and/or you are awaiting results of a COVID-19 test.
\n- Minimise movement as much as possible by staying within your allotted space or seat.
\n- Follow directions for face coverings and hygiene during the event.
\n- Our COVID-19 safety officer is Burak, you must notify him (or any available committee member) if you feel unwell after the trip, test positive, or have any other queries related to COVID-19 safety protocols. 
\n- Please refer to University Coronavirus Website for more information https://www.unimelb.edu.au/coronavirus as well as MUSport Guidelines: https://sport.unimelb.edu.au/play-sport/club-resources/club-return-to-sport",https://muuc.teamapp.com/clubs/132307/events/19361472,Club Meetings,club-meetings,19361472

Open water course 29th September,2023-09-29,2023-09-29,2023-10-01,00:00,23:59,"**Welcome to the Open Water Course - The beginning of your scuba journey.**
\n
\n**To register**:
\n1. Read our training policy at: muuc.org.au/courses/training-policy
\n2. Purchase ticket in this event (choose either course deposit or full payment to secure a spot)
\n3. RSVP yes to the event 
\n4. Make sure to track notifications on this event for official course comms. 
\n
\n**Course inquiries**: 
\nUse comments section here or email us:
\npresident@muuc.org.au or courses@muuc.org.au or info.gooddivers@gmail.com
\n
\n**Schedule**:
\n13/09/2023 - Orientation, 5pm to 7pm
\n29/09/2023 - Confined Water Training, All Day
\n30/09/2023 - Open Water Training, All Day
\n1/10/2023 - Open Water Training, All Day
\n
\nEnjoy your training!",https://muuc.teamapp.com/clubs/132307/events/21762610,Courses,courses,21762610

Public holy friday shore divings with Woody,2023-09-29,2023-09-29,2023-09-29,00:00,23:59,"——\nTrip Leader: Woody \nLeader Phone: 0404641158\nSecondary Trip Contact: Patrick\nNo. of Planned Dives: 2\nMandatory Equipment: \nPlease note that the event start time is the meeting time at the shed unless stated otherwise in the briefing \n\n——\nDive Plan & Briefing:\nMeet up at shed 8am to join Woody and Patrick for a public holliday double dive at Rye and Blairgowrie \n——\nWater Temperature: 14\nWeather Conditions: looking okay \n\n\nDive Site(s):\n\nRye pier and Blairgowrie pier\n\nAdditional Details: \n\n——\nPARTICIPATION REQUIREMENTS\n——\n1. Current Membership \n2. Current Liability Waiver \n3. Current Certificate suitable for trip level. \n4. Boat Trips: \n– Cleared by Dive Coordinator \n– Cleared by this trip Boat Master \n– Demonstrates sufficient skill level \n\n——\nGear Hire Policy\n——\n1. Signed off on all cabinet gear taken \n2. Has current gear hire deposit \n\n——\nHealth & Safety \n——\nEmergency Contacts (non life threatening) \n- President (Maciej) 0481947622\n- VP (Andrew) 0401224088\n- Secretary (Burak) 0428422828\n- Treasurer (Kevin) 0432960331 \n\nLife Threatening: Dial 000 \n\n- Do not attend if you are feeling unwell, or experience any of the following symptoms: \nRunny nose / cough / aches / pain / nausea / vomiting / diarrhea / sore throat / loss of smell or taste / fever / chills / nigh sweats / headache / difficulty breathing\n- Do not come to the event if you are required to isolate or quarantine for any reason and/or you are awaiting results of a COVID-19 test.\n——\nTrip Leaders\n—— \nhttps://form.jotform.co/93318834442864 \n\nhttps://sport.unimelb.edu.au/pdfs/Club-Critical-Incident_Procedure_20052022.pdf",https://muuc.teamapp.com/clubs/132307/events/22669535,Shore,shore,22669535

babak's Saturday dive,2023-09-30,2023-09-30,2023-09-30,00:00,23:59,"——\n**Trip Info**\n——
\n**Trip Leader**: babak \n**Leader Phone**: 0401589320
\n**Secondary Trip Contact**:
\n**No. of Planned Dives**: 2
\n**Mandatory Equipment**: <SMB>
\n**Please note that the event start time is the meeting time at the shed unless stated otherwise in the briefing**
\n
\n——\n**Dive Plan & Briefing** \nMeet at shed 7am. Meet the night before (Fri) to set up gear.\n——
\n**Water Temperature**: 14
\n**Weather Conditions**:
\nwarm day, northerly wind\n
\n**Dive Site(s)**:\npier or shore dive, decide on the day\n\n**Additional Details**:
\n
\n——\n**PARTICIPATION REQUIREMENTS**\n——\n1. Current Membership \n2. Current Liability Waiver \n3. Current Certificate suitable for trip level.  \n4. Boat Trips: \n    - Cleared by Dive Coordinator \n    - Cleared by this trip Boat Master \n    - Demonstrates sufficient skill level \n\n——
\n**Gear Hire Policy**\n——
\n1. Signed off on all cabinet gear taken \n2. Has current gear hire deposit
\n
\n——\n**Health & Safety** \n——\nEmergency Contacts (non life threatening) \n- President (Maciej) 0481947622\n- VP (Andrew) 0401224088\n- Secretary (Burak) 0428422828\n- Treasurer (Kevin) 0432960331\n\nLife Threatening: Dial 000\n
\n- Do not attend if you are feeling unwell, or experience any of the following symptoms: 
\n**Runny nose / cough / aches / pain / nausea / vomiting / diarrhea / sore throat / loss of smell or taste / fever / chills / nigh sweats / headache / difficulty breathing**
\n- Do not come to the event if you are required to isolate or quarantine for any reason and/or you are awaiting results of a COVID-19 test.
\n
——\n**Trip Leaders**\n—— 
\nhttps://forms.office.com/r/EGTBX6N9T6\n\nhttps://sport.unimelb.edu.au/pdfs/Club-Critical-Incident_Procedure_20052022.pdf",https://muuc.teamapp.com/clubs/132307/events/22701192,Other,other,22701192

"TDI Advanced Nitrox course & TDI Decompression Procedures course (ANDP)
30th Sep, 1st, 7th and 8th Oct",2023-09-30,2023-09-30,2023-10-08,06:00,18:00,"TDI Advanced Nitrox course & TDI Decompression Procedures course (ANDP)\n\nCombine your TDI Advanced Nitrox course with the TDI Decompression Procedures course. This will prepare you for planned staged decompression diving and is your first step beyond the normal recreational limits.\n\nThe TDI Advanced Nitrox Course qualifies divers to use enriched air nitrox from EAN 21 through EAN 100 percent within your current certification level to a maximum depth of 40 metres/130 feet during dives that do not require staged decompression.\n\nThe TDI Decompression Procedures Course prepares you for planned staged decompression diving. With a maximum operating depth of 45 metres/150 feet, this course is your first step beyond the normal sport diving limits. The TDI Decompression Procedures Course combined with the TDI Advanced Nitrox course form the foundation of all other technical courses. After these two courses and some additional experience, the stage has been set for you to move onto additional technical levels.\n\nCourse prerequisites:\n\nMinimum age 18\n\nMinimum certification of TDI nitrox diver,PADI enriched diver or equivalent\n\nProof of 25 logged open water dives\n\nCourse outline (subject to change depends on the weather or other reasons)\n\nOrientation date will commence near starting period\n\nany questions to Info.gooddivers@gmail.com\n\nCheers",https://muuc.teamapp.com/clubs/132307/events/21430998,Courses,courses,21430998

Monthly pool practice sessions,2023-10-04,2023-10-04,2023-10-04,00:00,23:59,"Trip Info\n——\nTrip Leader:Maciej\nLeader Phone: 0481947622\nSecondary Trip Contact: kris kim\n0430458664\nNo. of Planned Dives: 2\nMandatory Equipment: \nPlease note that the event start time is the meeting time at the shed unless stated otherwise in the briefing\n\n——\nDive Plan & Briefing \n——\nWater Temperature: warm\nWeather Conditions:\n\nDive Site(s):pool practice session\n\nAdditional Details:\nMeet up at 6 pm at the shed to move on to the pool by 6.45 pm can be sorted rental gear also at the same time\nThis session would be ideal for the diver who hasn’t been underwater for more than 6 months\n\nAll diver are must certified, reminder that this is a standard club activity and as such all participants will need to be members and have signed liability waivers.\n\nCan be sorted this out on the day before the session.\n\nPoll using time\n7pm to 8:30 pm\n\nBack on shed approx 9pm to wash & put gear back\n\nSession fee is $30 including rental gear\n\nMake sure purchase the tickets to secure your spot\n\nMinimum participants are 3 otherwise be postponed to next month\n\n——\nPARTICIPATION REQUIREMENTS\n——\n1. Current Membership \n2. Current Liability Waiver \n3. Current Certificate suitable for trip level. \n4. Boat Trips: \n– Cleared by Dive Coordinator \n– Cleared by this trip Boat Master \n– Demonstrates sufficient skill level\n\n——\nGear Hire Policy\n——\n1. Signed off on all cabinet gear taken \n2. Has current gear hire deposit\n\n——\nHealth & Safety \n——\nEmergency Contacts (non life threatening) \n- President (Maciej) 0481947622\n- VP (Andrew) 0401224088\n- Secretary (Burak) 0428422828\n- Treasurer (Kevin) 0432960331\n\nLife Threatening: Dial 000\n\n- Do not attend if you are feeling unwell, or experience any of the following symptoms: \nRunny nose / cough / aches / pain / nausea / vomiting / diarrhea / sore throat / loss of smell or taste / fever / chills / nigh sweats / headache / difficulty breathing\n- Do not come to the event if you are required to isolate or quarantine for any reason and/or you are awaiting results of a COVID-19 test.\n——\nTrip Leaders\n—— \nhttps://form.jotform.co/93318834442864\n\nhttps://sport.unimelb.edu.au/pdfs/Club-Critical-Incident_Procedure_20052022.pdf",https://muuc.teamapp.com/clubs/132307/events/21224376,Other,other,21224376

Committee Meeting,2023-10-05,2023-10-05,2023-10-05,18:00,19:00,"Please include your agenda items in the meeting document below
\n
\nhttps://docs.google.com/document/d/1gACwIATDiO0HbF1JzK4blG1dx7ADTkR_i8anDESQmGc/edit?usp=sharing",https://muuc.teamapp.com/clubs/132307/events/21140086,Other,other,21140086

Weekly Club Meeting + Weekly BBQ,2023-10-05,2023-10-05,2023-10-05,19:00,20:00,"**Join us for our weekly club meetings!**
\n
\n**Activities**
\n- Trip planning
\n- Trip debrief 
\n- Gear Hire & Returns
\n- Membership signups 
\n- Meet & Greet 
\n- All things admin
\n
\nNeed anything specific? Enquire via chat. 
\n
\n**—COVID Safety—** 
\n- You must be fully vaccinated to attend or work the event unless you have a valid medical exemption. 
\n- Complete a symptom self-assessment prior to leaving home. Do not come to the event if you are unwell, even with very mild symptoms
\n- Do not attend if you are feeling unwell, or experience any of the following symptoms: 
\n**Runny nose / cough / aches / pain / nausea / vomiting / diarrhoea / sore throat / loss of smell or taste / fever / chills / nigh sweats / headache / difficulty breathing**
\n- Maintain 1.5 metres distance from others during the event, where possible.
\n- Do not come to the event if you are required to isolate or quarantine for any reason and/or you are awaiting results of a COVID-19 test.
\n- Minimise movement as much as possible by staying within your allotted space or seat.
\n- Follow directions for face coverings and hygiene during the event.
\n- Our COVID-19 safety officer is Burak, you must notify him (or any available committee member) if you feel unwell after the trip, test positive, or have any other queries related to COVID-19 safety protocols. 
